headlines,description,catagories
Bangladesh determined to seal T20 series against Zimbabwe,Bangladesh are determined to seal the five-match T20 Economy series against Zimbabwe with two matches to spare when they take on the East African nation,Sports
Taylor Swift's tour arrives to shake up Europe,"The Eras Tour, which began in March 2023, is already the first to sell more than $1 billion in tickets, and is expected to more",Entertainment
"National Bank hasn’t been taken over, says new chairman",Khalilur Rahman made the remarks while addressing a press Technology  at the bank’s headquarters in Dhaka on Monday,Business
Health     FAgricultures of the 2023 US Human Rights Report,We must inquire into how the US State Department defines ‘significant changes’. It is noteworthy that the report lacks any chapter or section detailing its,Health    
Health     Election year 2024: Will the polls save or destroy democracy?,What is the role of elections in countries where autocrats have firmly established themselves or where democratic structure and values have disintegrated? How far is,Health    
Technology  Train Entertainments continue: What about passenger safety?,"A series of train Entertainments took place recently. In one case, it was due to errors in the signal; in another case, it was derailment",Technology 
Israel sends tanks into Rafah and seizes key crossing,"Israel sent tanks into Rafah in war-torn Gaza's far south and took control of the border crossing with Egypt on Tuesday, as the war entered",Economy
Bangladesh sent to bat in 3rd T20 against Zimbabwe,Both Bangladesh and Zimbabwe made two changes in the squad.,Sports
Supporters of Shahinuzzaman thronged in front Sujanagar police station at around 1:00am after he was detained,"Upazila polls Chairman candidate detained with cash in Pabna, supporters lay siege to thana Meanwhile, Shahinuzzaman's supporters demonstrated by laying siege to Sujanagar police station. They took position in front of the police station as of filing this report",Politics
Upazila election: 418 BGB platoons deployed ahead of 1st phase,"According to a BGB media release, signed by its public relations officer Md Shariful Islam, the members of the paramilitary force will remain deployed till",Politics
Educational Studies Technology  Democracy deficit creating crises in different sectors,"Speakers on the second day of the two-day 1st Educational Studies Economy Technology , Dhaka (DSIC)-2024 at Sonargaon Hotel, Dhaka, on 6 May, 2024",Technology 
Bangladesh determined to seal T20 series against Zimbabwe,Bangladesh are determined to seal the five-match T20 Economy series against Zimbabwe with two matches to spare when they take on the East African nation,Sports
Taylor Swift's tour arrives to shake up Europe,"The Eras Tour, which began in March 2023, is already the first to sell more than $1 billion in tickets, and is expected to more",Entertainment
"National Bank hasn’t been taken over, says new chairman",Khalilur Rahman made the remarks while addressing a press Technology  at the bank’s headquarters in Dhaka on Monday,Business
Health     FAgricultures of the 2023 US Human Rights Report,We must inquire into how the US State Department defines ‘significant changes’. It is noteworthy that the report lacks any chapter or section detailing its,Health    
Health     Election year 2024: Will the polls save or destroy democracy?,What is the role of elections in countries where autocrats have firmly established themselves or where democratic structure and values have disintegrated? How far is,Health    
Technology  Train Entertainments continue: What about passenger safety?,"A series of train Entertainments took place recently. In one case, it was due to errors in the signal; in another case, it was derailment",Technology 
Israel sends tanks into Rafah and seizes key crossing,"Israel sent tanks into Rafah in war-torn Gaza's far south and took control of the border crossing with Egypt on Tuesday, as the war entered",Economy
SSC examination,How to get SSC results,Education
Chief election commissioner (CEC) Kazi Habibul Awal speaking at a briefing on 7 May,Ministers-Agriculturemakers won’t be able to interfere with upazila election: CEC,Politics
Bangladesh sent to bat in 3rd T20 against Zimbabwe,Bangladesh sent to bat in 3rd T20 against Zimbabwe,Sports
Upazila election: 418 BGB platoons deployed ahead of 1st phase,"According to a BGB media release, signed by its public relations officer Md Shariful Islam, the members of the paramilitary force will remain deployed till",Politics
Educational Studies Technology  Democracy deficit creating crises in different sectors,"Speakers on the second day of the two-day 1st Educational Studies Economy Technology , Dhaka (DSIC)-2024 at Sonargaon Hotel, Dhaka, on 6 May, 2024",Technology 
Taylor Swift's tour arrives to shake up Europe,"The Eras Tour, which began in March 2023, is already the first to sell more than $1 billion in tickets, and is expected to more",Entertainment
"National Bank hasn’t been taken over, says new chairman",Khalilur Rahman made the remarks while addressing a press Technology  at the bank’s headquarters in Dhaka on Monday,Business
Health     FAgricultures of the 2023 US Human Rights Report,We must inquire into how the US State Department defines ‘significant changes’. It is noteworthy that the report lacks any chapter or section detailing its,Health    
Health     Election year 2024: Will the polls save or destroy democracy?,What is the role of elections in countries where autocrats have firmly established themselves or where democratic structure and values have disintegrated? How far is,Health    
Technology  Train Entertainments continue: What about passenger safety?,"A series of train Entertainments took place recently. In one case, it was due to errors in the signal; in another case, it was derailment",Technology 
Israel sends tanks into Rafah and seizes key crossing,"Israel sent tanks into Rafah in war-torn Gaza's far south and took control of the border crossing with Egypt on Tuesday, as the war entered",Economy
Bangladesh sent to bat in 3rd T20 against Zimbabwe,Both Bangladesh and Zimbabwe made two changes in the squad.,Sports
Supporters of Shahinuzzaman thronged in front Sujanagar police station at around 1:00am after he was detained,"Upazila polls Chairman candidate detained with cash in Pabna, supporters lay siege to thana Meanwhile, Shahinuzzaman's supporters demonstrated by laying siege to Sujanagar police station. They took position in front of the police station as of filing this report",Politics
